a,啊
tshitsiam,tshì-tsiam
tshitsiann,七成
tshitsiann,tshit-siânn
tshitso,試做
tshitso,tshì-tsò
tshittho,佚陶
tshittho,tshit-thô
tshittiauloo,七條路
tshittiauloo,tshit-tiâu-lōo
Tshittiaunn,七張
Tshittiaunn,Tshit-tiaunn
Tshittionn,七張
Tshittionn,Tshit-tionn
tshittsap,七十
tshittsap,tshit-tsa̍p
tshittsapban,七十萬
tshittsapban,tshit-tsa̍p-bān
tshittsapehe,七早八个
tshittsapehe,tshit-tsá-peh-ê
tshittsapehtsa,七早八早
tshittsapehtsa,tshit-tsá-peh-tsá
tshittsapgoo,七十五
tshittsapgoo,tshit-tsa̍p-gōo
tshittsapit,七十一
tshittsapit,tshit-tsa̍p-it
tshittsapji,七十二
tshittsapji,tshit-tsa̍p-jī
tshittsapkau,七十九
tshittsapkau,tshit-tsa̍p-káu
tshittsaplak,七十六
tshittsaplak,tshit-tsa̍p-la̍k
tshittsappeh,七十八
tshittsappeh,tshit-tsa̍p-peh
tshittsapsann,七十三
tshittsapsann,tshit-tsa̍p-sann
tshittsapsi,七十四
tshittsapsi,tshit-tsa̍p-sì
tshittsaptsheng,七十千
tshittsaptsheng,tshit-tsa̍p-tsheng
tshittsaptshit,七十七
tshittsaptshit,tshit-tsa̍p-tshit
tshittshai,七彩
tshittshai,tshit-tshái
tshittsheng,七千
tshittsheng,tshit-tsheng
tshittshengban,七千萬
tshittshengban,tshit-tsheng-bān
tshittshitpehpeh,七七八八
tshittshitpehpeh,tshit-tshit-peh-peh
tshiubah,手肉
tshiubah,tshiú-bah
tshiubueh,手襪
tshiubueh,tshiú-bue̍h
tshiubueji,手尾字
tshiubueji,tshiú-bué-jī
tshiuheng,手形
tshiuheng,tshiú-hêng
tshiuhong,秋風
tshiuhong,tshiu-hong
tshiuji,手字
tshiuji,tshiú-jī
tshiukam,手感
tshiukam,tshiú-kám
tshiukha,樹骹
tshiukha,tshiū-kha
tshiukhau,手扣
tshiukhau,tshiú-khàu
tshiuki,手機
tshiuki,tshiú-ki
tshiukiu,手球
tshiukiu,tshiú-kiû
tshiuku,手鋸
tshiuku,tshiú-kù
tshiulat,手力
tshiulat,tshiú-la̍t
tshiuleng,樹奶
tshiuleng,tshiū-leng
tshiulenghuinn,樹奶園
tshiulenghuinn,tshiū-leng-huînn
tshiulengsoka,樹奶束仔
tshiulengsoka,tshiū-leng-sok-á
tshiulengthng,樹奶糖
tshiulengthng,tshiū-leng-thn̂g
tshiulengtshita,樹奶拭仔
tshiulengtshita,tshiū-leng-tshit-á
tshiulengtua,樹奶帶
tshiulengtua,tshiū-leng-tuà
tshiulok,手槖
tshiulok,tshiú-lo̍k
tshiupau,手包
tshiupau,tshiú-pau
tshiupee,手耙
tshiupee,tshiú-pēe
tshiuphue,樹皮
tshiuphue,tshiū-phuê
tshiupio,手錶
tshiupio,tshiú-pio
tshiupioa,手錶仔
tshiupioa,tshiú-pio-á
tshiupiotua,手錶帶
tshiupiotua,tshiú-pio-tuà
tshiusimsek,樹心色
tshiusimsek,tshiū-sim-sek
tshiute,手袋
tshiute,tshiú-tē
tshiuthang,樹蟲
tshiuthang,tshiū-thâng
tshiuthetianua,手提電話
tshiuthetianua,tshiú-thê-tiān-uā
tshiutian,手電
tshiutian,tshiú-tiān
tshiutianua,手電話
tshiutianua,tshiú-tiān-uā
tshiutsang,樹欉
tshiutsang,tshiū-tsâng
tshiutsangki,樹欉枝
tshiutsangki,tshiū-tsâng-ki
tshiutsheeh,手冊
tshiutsheeh,tshiú-tsheeh
tshiutsheng,手銃
tshiutsheng,tshiú-tshèng
tshiutshiu,鬚鬚
tshiutshiu,tshiu-tshiu
tshiutsiam,手尖
tshiutsiam,tshiú-tsiam
tshiuuinn,手䘼
tshiuuinn,手綩
tshiuuinn,tshiú-uínn
Tshngbo,床母
Tshngbo,Tshn̂g-bó
tshngpang,床枋
tshngpang,tshn̂g-pang
tshngthautoh,床頭桌
tshngthautoh,tshn̂g-thâu-toh
tshoi,啋
tshoi,tshoí
tshoji,草字
tshoji,tshó-jī
tshokue,草粿
tshokue,錯過
tshokue,tshó-kué
tshokue,tshò-kuè
tshongbeng,聰明
tshongbeng,tshong-bêng
tshongkeng,創景
tshongkeng,tshòng-kéng
tshongpanlang,創辦人
tshongpanlang,tshòng-pān-lâng
tshongtshong,匆匆
tshongtshong,tshong-tshong
tshoobihun,粗米粉
tshoobihun,tshoo-bí-hún
tshoobin,粗面
tshoobin,tshoo-bīn
tshoogee,粗牙
tshoogee,tshoo-gêe
tshoohue,粗貨
tshoohue,tshoo-huè
tshooiong,粗用
tshooiong,tshoo-iōng
tshookhatshootshiu,粗跤粗手
tshookhatshootshiu,tshoo-kha-tshoo-tshiú
tshookhi,粗氣
tshookhi,tshoo-khì
tshoopan,初版
tshoopan,tshoo-pán
tshoopaong,楚霸王
tshoopaong,tshóo-pà-ông
tshoosim,粗心
tshoosim,tshoo-sim
tshootiong,初中
tshootiong,tshoo-tiong
tshootshaipianpuinn,粗菜便飯
tshootshaipianpuinn,tshoo-tshài,piān-puīnn
tshootsheng,粗穿
tshootsheng,tshoo-tshēng
tshooua,粗話
tshooua,tshoo-uā
tshuaboo,娶姥
tshuaboo,tshuā-bóo
tshuahpeng,礤冰
tshuahpeng,tshuah-peng
tshuahsaitshenn,疶屎星
tshuahsaitshenn,tshuah-sái-tshenn
tshuanjip,喘入
tshuanjip,tshuán-ji̍p
tshuanliu,川流
tshuanliu,tshuan-liû
tshuantshut,喘出
tshuantshut,tshuán-tshut
tshuasinnioo,娶新娘
tshuasinnioo,tshuā-sin-niôo
tshuathaue,𤆬頭的
tshuathaue,tshuā-thâu,ê
tshuatshukang,蔡厝港
tshuatshukang,tshuà-tshù-káng
tshubueteng,厝尾頂
tshubueteng,tshù-bué-téng
tshueang,揣翁
tshueang,tshuē,ang
tshuebolang,揣無人
tshuebolang,tshuē-bô-lâng
tshueboo,揣某
tshueboo,tshuē,bóo
tshuekhangthau,尋空頭
tshuekhangthau,tshuē-khang-thâu
tshuekhangtshuesun,尋空尋榫
tshuekhangtshuesun,tshuē-khang-tshuē-sún
tshuelang,炊籠
tshuelang,tshue-láng
tshuelang,揣人
tshuelang,tshuē-lâng
tshuepuinn,炊飯
tshuepuinn,tshue-puīnn
tshuesu,尋事
tshuesu,tshuē-sū
tshuethang,炊桶
tshuethang,tshue-tháng
tshuethauki,吹頭機
tshuethauki,tshue-thâu-ki
tshuethauloo,尋頭路
tshuethauloo,tshuē-thâu-lōo
tshuethaumoo,吹頭毛
tshuethaumoo,tshue-thâu-môo
tshuetioh,尋著
tshuetioh,tshuē-tio̍h
tshuetsiah,尋食
tshuetsiah,tshuē-tsia̍h
tshuhia,茨瓦
tshuhia,tshù-hiā
tshuho,茨號
tshuho,tshù-hō
tshuhuinn,處方
tshuhuinn,tshú-huinn
tshuieetau,喙下斗
tshuieetau,tshuì-ēe-táu
tshuihua,喙花
tshuihua,tshuì-hua
tshuiiaunniaunn,碎溶溶
tshuiiaunniaunn,tshuì-iâunn-iâunn
tshuiionnionn,碎溶溶
tshuiionnionn,tshuì-iônn-iônn
tshuikhauua,喙口話
tshuikhauua,tshuì-kháu-uā
tshuikhibah,喙齒肉
tshuikhibah,tshuì-khí-bah
tshuikhigin,喙齒齦
tshuikhigin,tshuì-khí-gîn
tshuikhihun,喙齒痕
tshuikhihun,tshuì-khí-hûn
tshuikhiin,喙齒印
tshuikhiin,tshuì-khí-ìn
tshuikhijiah,喙齒跡
tshuikhijiah,tshuì-khí-jiah
tshuikhim,喙琴
tshuikhim,tshuì-khîm
tshuikhiphang,喙齒縫
tshuikhiphang,tshuì-khí-phâng
tshuikhitai,喙齒滓
tshuikhitai,tshuì-khí-tái
tshuikhitsiu,喙齒蛀
tshuikhitsiu,tshuì-khí-tsiù
tshuinn,穿
tshuinn,tshuinn
tshuinna,串仔
tshuinna,tshuìnn-á
tshuinnkue,穿過
tshuinnkue,tshuinn-kuè
tshuinntsiam,穿針
tshuinntsiam,tshuinn-tsiam
tshuinua,喙涎
tshuinua,tshuì-nuā
tshuinuatsui,喙瀾水
tshuinuatsui,tshuì-nuā-tsuí
tshuinui,碎卵
tshuinui,tshuì-nuī
tshuipeeh,喙白
tshuipeeh,tshuì-pe̍eh
tshuiphoo,喙輔
tshuiphoo,tshuì-phóo
tshuiphookut,喙輔骨
tshuiphookut,tshuì-phóo-kut
tshuiphua,喙破
tshuiphua,tshuì-phuà
tshuipoo,碎布
tshuipoo,tshuì-pòo
tshuiseng,催生
tshuiseng,tshui-seng
tshuisiau,推銷
tshuisiau,tshui-siau
tshuisiauuan,推銷員
tshuisiauuan,tshui-siau-uân
tshuitinntsihkut,喙甜舌滑
tshuitinntsihkut,tshuì-tinn-tsi̍h-ku̍t
tshuitshiobaktshio,喙笑目笑
tshuitshiobaktshio,tshuì-tshiò-ba̍k-tshiò
tshuitsiampohlai,喙尖薄利
tshuitsiampohlai,tshuì-tsiam-po̍h-lāi
tshuitsiaunn,喙癢
tshuitsiaunn,tshuì-tsiāunn
tshuitsionn,喙癢
tshuitsionn,tshuì-tsiōnn
tshuitsun,催陣
tshuitsun,tshui-tsūn
tshuitun,喙唇
tshuitun,tshuì-tûn
tshuji,茨字
tshuji,tshù-jī
tshukee,茨家
tshukee,tshù-kee
tshukeng,取景
tshukeng,處境
tshukeng,tshú-kéng
tshukhe,茨契
tshukhe,tshù-khè
tshuki,茨期
tshuki,tshù-kî
tshukiann,茨囝
tshukiann,tshù-kiánn
tshulai,茨內
tshulai,tshù-lāi
tshun,賰
tshun,tshun
tshunahua,春仔花
tshunahua,tshun-á-hua
tshunbang,春夢
tshunbang,tshun-bāng
tshunkee,春假
tshunkee,tshun-kée
tshunkha,伸骹
tshunkha,tshun-kha
tshunkin,存根
tshunkin,tshûn-kin
tshunlau,賰留
tshunlau,tshun-lâu
tshunlui,賰鐳
tshunlui,tshun-lui
tshunphainn,存歹
tshunphainn,tshûn-pháinn
tshunpiann,春餅
tshunpiann,tshun-piánn
tshunpuinn,春飯
tshunpuinn,tshun-puīnn
tshunpun,存本
tshunpun,存生
tshunpun,tshûn-pún
tshunsiau,春宵
tshunsiau,tshun-siau
tshuntampoh,賰淡薄
tshuntampoh,tshun,tām-po̍h
tshuntiaunn,村長
tshuntiaunn,tshun-tiáunn
tshuntionn,村長
tshuntionn,tshun-tiónn
tshuntse,賰濟
tshuntse,tshun,tsē
tshuntsiah,存食
tshuntsiah,tshûn-tsia̍h
tshupinn,茨邊
tshupinn,tshù-pinn
tshupinnkeehpiah,厝邊隔壁
tshupinnkeehpiah,tshù-pinn-keeh-piah
tshupinnthaubue,茨邊頭尾
tshupinnthaubue,tshù-pinn-thâu-bué
tshusin,茨身
tshusin,tshù-sin
tshusue,茨稅
tshusue,tshù-suè
tshuteng,厝頂
tshuteng,茨頂
tshuteng,tshù-téng
tshutgee,出芽
tshutgee,tshut-gêe
tshuthaukee,厝頭家
tshuthaukee,tshù-thâu-kee
tshuthun,出痕
tshuthun,tshut-hûn
tshutian,出演
tshutian,出緣
tshutian,tshut-ián
tshutian,tshut-iân
tshutiaunn,次長
tshutiaunn,處長
tshutiaunn,tshù-tiáunn
tshutionn,次長
tshutionn,處長
tshutionn,tshù-tiónn
tshutiu,出遊
tshutiu,tshut-iû
tshutjit,出日
tshutjit,tshut-ji̍t
tshutkai,出界
tshutkai,tshut-kài
tshutkang,出工
tshutkang,tshut-kang
tshutkee,出家
tshutkee,出嫁
tshutkee,出價
tshutkee,tshut-kee
tshutkee,tshut-kèe
tshutkek,出擊
tshutkek,tshut-kek
tshutkeng,出境
tshutkeng,tshut-kéng
tshutkhausiong,出口商
tshutkhausiong,tshut-kháu-siong
tshutkiok,出局
tshutkiok,tshut-kio̍k
tshutkuan,出關
tshutkuan,tshut-kuan
tshutlangthaute,出人頭地
tshutlangthaute,tshut-lâng-thâu-tē
tshutlangtseng,出人前
tshutlangtseng,tshut-lâng-tsêng
tshutlau,出樓
tshutlau,tshut-lâu
tshutlui,出鐳
tshutlui,tshut-lui
tshutmia,出命
tshutmia,tshut-miā
tshutmui,出門
tshutmui,tshut-muî
tshutnioo,出糧
tshutnioo,出讓
tshutnioo,tshut-niôo
tshutnioo,tshut-niōo
tshutoh,出學
tshutoh,tshut-o̍h
tshutoo,茨圖
tshutoo,tshù-tôo
tshutpankhuan,出版權
tshutpankhuan,tshut-pán-khuân
tshutpantsuiu,出版自由
tshutpantsuiu,tshut-pán-tsū-iû
tshutpeng,出兵
tshutpeng,tshut-peng
tshutpho,出坡
tshutpho,tshut-pho
tshutphua,出破
tshutphua,tshut-phuà
tshutsai,出賽
tshutsai,tshut-sài
tshutse,出勢
tshutse,tshut-sè
tshutsek,出色
tshutsek,出息
tshutsek,出席
tshutsek,tshut-sek
tshutsek,tshut-se̍k
tshutsiau,出數
tshutsiau,tshut-siàu
tshutsin,出神
tshutsin,tshut-sîn
tshutsu,茨主
tshutsu,出事
tshutsu,tshù-tsú
tshutsu,tshut-sū
tshutsuann,出線
tshutsuann,tshut-suànn
tshutsue,出稅
tshutsue,tshut-suè
tshuttai,出台
tshuttai,tshut-tâi
tshuttan,出癉
tshuttan,tshut-tan
tshutteng,出丁
tshutteng,出庭
tshutteng,tshut-teng
tshutteng,tshut-têng
tshuttiaunn,出張
tshuttiaunn,出場
tshuttiaunn,tshut-tiaunn
tshuttiaunn,tshut-tiâunn
tshuttionn,出張
tshuttionn,出場
tshuttionn,tshut-tionn
tshuttionn,tshut-tiônn
tshutto,出道
tshutto,tshut-tō
tshuttsai,出在
tshuttsai,tshut-tsāi
tshuttsau,出走
tshuttsau,tshut-tsáu
tshuttshia,出車
tshuttshia,tshut-tshia
tshuttshiaunn,出廠
tshuttshiaunn,tshut-tshiáunn
tshuttshionn,出廠
tshuttshionn,tshut-tshiónn
tshuttshun,出賰
tshuttshun,tshut-tshun
tshuttsinji,出真字
tshuttsinji,tshut-tsin-jī
tshuttsinn,出錢
tshuttsinn,tshut-tsînn
tshuttuann,出單
tshuttuann,tshut-tuann
tsiahampuinn,食暗飯
tsiahampuinn,tsia̍h-àm-puīnn
tsiahamtuinn,食暗頓
tsiahamtuinn,tsia̍h-àm-tuìnn
tsiahbah,食肉
tsiahbah,tsia̍h-bah
tsiahbahmuai,食肉糜
tsiahbahmuai,tsia̍h-bah-muâi
tsiahbeloh,食袂落
tsiahbeloh,tsia̍h,bē,lo̍h
tsiahbesiau,食袂消
tsiahbesiau,tsia̍h,bē,siau
tsiahbi,食米
tsiahbi,tsia̍h,bí
Tsiahbokau,食無夠
Tsiahbokau,tsia̍h,bô-kàu
tsiahe,食的
tsiahe,tsia̍h,ê
tsiahgiah,食額
tsiahgiah,tsia̍h-gia̍h
tsiahho,食好
tsiahho,tsia̍h-hó
tsiahholiau,食好料
tsiahholiau,tsia̍h-hó-liāu
tsiahhong,食風
tsiahhong,tsia̍h-hong
tsiahkang,食工
tsiahkang,tsia̍h-kang
tsiahkau,食教
tsiahkau,tsia̍h-kàu
tsiahkheeh,食客
tsiahkheeh,tsia̍h-kheeh
tsiahkuan,食管
tsiahkuan,tsia̍h-kuán
tsiahle,食禮
tsiahle,tsia̍h-lé
tsiahleng,食奶
tsiahleng,tsia̍h-leng
tsiahliau,食料
tsiahliau,tsia̍h-liāu
tsiahliaubi,食了米
tsiahliaubi,tsia̍h-liáu-bí
tsiahloo,食路
tsiahloo,tsia̍h-lōo
tsiahlootsui,食露水
tsiahlootsui,tsia̍h-lōo-tsuí
tsiahlui,食鐳
tsiahlui,tsia̍h-lui
tsiahmuai,食糜
tsiahmuai,tsia̍h,muâi
tsiahnau,食腦
tsiahnau,tsia̍h-náu
tsiahnuikiannngee,食軟驚硬
tsiahnuikiannngee,tsia̍h-nuí-kiann-ngēe
tsiahpa,食飽
tsiahpa,tsia̍h-pá
tsiahpauanniau,食飽換枵
tsiahpauanniau,tsia̍h-pá-uānn-iau
tsiahphang,食芳
tsiahphang,tsia̍h-phang
tsiahpuinn,食飯
tsiahpuinn,tsia̍h-puīnn
tsiahpuinnthiann,食飯廳
tsiahpuinnthiann,tsia̍h-puīnn-thiann
tsiahpuinntoh,食飯桌
tsiahpuinntoh,tsia̍h-puīnn-toh
tsiahsai,食屎
tsiahsai,tsia̍h-sái
tsiahsek,食色
tsiahsek,tsia̍h-sek
tsiahsua,食沙
tsiahsua,tsia̍h-sua
tsiahsue,食稅
tsiahsue,tsia̍h-suè
tsiahtee,食茶
tsiahtee,tsia̍h-têe
tsiahtok,食毒
tsiahtok,tsia̍h-to̍k
tsiahtse,食齋
tsiahtse,tsia̍h-tse
tsiahtshau,食草
tsiahtshau,tsia̍h-tsháu
tsiahtsheng,食穿
tsiahtsheng,tsia̍h-tshēng
tsiahtshengniapian,食清領便
tsiahtshengniapian,tsia̍h-tsheng-niá-piān
tsiahtshiann,食請
tsiahtshiann,tsia̍h-tshiánn
tsiahtshoioh,食錯藥
tsiahtshoioh,tsia̍h-tshò-io̍h
tsiahtsiaunn,食漿
tsiahtsiaunn,tsia̍h-tsiaunn
tsiahtsio,食蕉
tsiahtsio,tsia̍h-tsio
tsiahtsionn,食漿
tsiahtsionn,tsia̍h-tsionn
tsiahtsiu,食酒
tsiahtsiu,tsia̍h-tsiú
tsiahtsua,食蛇
tsiahtsua,tsia̍h-tsuâ
tsiahu,子仔魚
tsiahu,tsí-á-hû
tsiahui,食位
tsiahui,tsia̍h-uī
tsiamhai,潛海
tsiamhai,tsiâm-hái
tsiamhongthau,占風頭
tsiamhongthau,tsiàm-hong-thâu
tsiamiong,佔用
tsiamiong,tsiàm-iōng
tsiamkak,尖角
tsiamkak,tsiam-kak
tsiamlek,潛力
tsiamlek,tsiâm-le̍k
tsiamleng,潛能
tsiamleng,tsiâm-lêng
tsiamte,佔地
tsiamte,tsiàm-tē
tsiamtheng,暫停
tsiamtheng,tsiām-thêng
tsiamtshui,尖喙
tsiamtshui,tsiam-tshuì
tsiamtshuingeeha,尖喙夾仔
tsiamtshuingeeha,tsiam-tshuì-ngeeh-á
tsiamtsui,潛水
tsiamtsui,tsiâm-tsuí
tsiamtsuinn,尖鑽
tsiamtsuinn,tsiam-tsuìnn
tsiamua,僭話
tsiamua,tsiàm-uā
tsianbuputseng,戰無不勝
tsianbuputseng,tsiàn-bû-put-sèng
tsiandoi,煎蕊
tsiandoi,tsian-doi
tsianek,戰役
tsianek,tsiàn-e̍k
tsianggi,樟宜
tsianggi,tsiang-gî
tsianioh,煎藥
tsianioh,tsian-io̍h
tsianiu,戰友
tsianiu,tsiàn-iú
tsiankeng,前景
tsiankeng,tsiân-kéng
tsiankimsiotsia,千金小姐
tsiankimsiotsia,tsian-kim-sió-tsiá
tsianlek,戰力
tsianlek,tsiàn-le̍k
tsianlibak,千里目
tsianlibak,tsian-lí-ba̍k
tsianlima,千里馬
tsianlima,tsian-lí-má
tsiann,孱
tsiann,tsiánn
tsiannban,成萬
tsiannban,tsiânn-bān
tsianne,正的
tsianne,tsiànn,ê
tsiannguehsi,正月時
tsiannguehsi,tsiann-gue̍h-sî
tsiannguehtsheit,正月初一
tsiannguehtsheit,tsiann-gue̍h-tshe-it
tsiannguehtsiannthau,正月正頭
tsiannguehtsiannthau,tsiann-gue̍h-tsiann-thâu
tsiannhi,正戲
tsiannhi,tsiànn-hì
tsianniaunn,成樣
tsianniaunn,tsiânn-iāunn
tsiannionn,成樣
tsiannionn,tsiânn-iōnn
tsiannjit,正日
tsiannjit,tsiànn-ji̍t
tsiannkha,正骹
tsiannkha,tsiànn-kha
tsiannkhau,正剾
tsiannkhau,tsiànn-khau
tsiannkogueh,成個月
tsiannkogueh,tsiânn,kò,gue̍h
tsiannlangkuntsu,正人君子
tsiannlangkuntsu,tsiànn-lâng-kun-tsú
tsiannlepai,成禮拜
tsiannlepai,tsiânn,lé-pài
tsiannli,正理
tsiannli,tsiànn-lí
tsiannmeeh,正脈
tsiannmeeh,tsiànn-me̍eh
tsiannmia,正名
tsiannmia,tsiànn-miâ
tsiannmui,正門
tsiannmui,tsiànn-muî
tsiannpah,成百
tsiannpah,tsiânn-pah
tsiannpahban,成百萬
tsiannpahban,tsiânn-pah-bān
tsiannpahtsheng,成百千
tsiannpahtsheng,tsiânn-pah-tsheng
tsiannpang,正房
tsiannpang,tsiànn-pâng
tsiannpeng,正爿
tsiannpeng,tsiànn-pêng
tsiannphue,正皮
tsiannphue,tsiànn-phuê
tsiannpit,正筆
tsiannpit,tsiànn-pit
tsiannpitji,正筆字
tsiannpitji,tsiànn-pit-jī
tsiannsek,正色
tsiannsek,tsiànn-sek
tsiannsi,正時
tsiannsi,tsiànn-sî
tsiannsilang,成世人
tsiannsilang,tsiânn-sì-lâng
tsiannsin,正神
tsiannsin,tsiànn-sîn
tsiannsit,正實
tsiannsit,tsiànn-si̍t
tsiannsitkong,誠實講
tsiannsitkong,tsiânn-si̍t-kóng
tsiannsu,正事
tsiannsu,tsiànn-sū
tsiannte,正題
tsiannte,tsiànn-tê
tsianntit,正直
tsianntit,tsiànn-ti̍t
tsianntsap,成十
tsianntsap,tsiânn-tsa̍p
tsianntse,誠濟
tsianntse,tsiânn-tsē
tsianntsheng,成千
tsianntsheng,tsiânn-tsheng
tsianntshiupeng,正手爿
tsianntshiupeng,tsiànn-tshiú-pêng
tsianntsiann,正正
tsianntsiann,tsiànn-tsiànn
tsianntsu,正主
tsianntsu,tsiànn-tsú
tsianntsui,汫水
tsianntsui,tsiánn-tsuí
tsianntsuihu,汫水魚
tsianntsuihu,tsiánn-tsuí-hû
tsianntuinn,正頓
tsianntuinn,tsiànn-tuìnn
tsiannua,正話
tsiannua,tsiànn-uā
tsiannui,煎卵
tsiannui,正位
tsiannui,tsian-nuī
tsiannui,tsiànn-uī
tsiansanbansui,千山萬水
tsiansanbansui,tsian-san-bān-suí
tsiansu,戰書
tsiansu,tsiàn-su
tsianteng,前程
tsianteng,tsiân-têng
tsiantiaunn,戰場
tsiantiaunn,tsiàn-tiâunn
tsiantionn,戰場
tsiantionn,tsiàn-tiônn
tsiantsek,戰績
tsiantsek,tsiàn-tsek
tsiantseng,戰爭
tsiantseng,戰前
tsiantseng,戰情
tsiantseng,tsiàn-tseng
tsiantseng,tsiàn-tsêng
tsiantsha,煎炒
tsiantsha,tsian-tshá
tsiantsinbankhak,千真萬確
tsiantsinbankhak,tsian-tsin-bān-khak
tsiantsun,戰船
tsiantsun,tsiàn-tsûn
tsiapbetioh,接袂著
tsiapbetioh,tsiap,bē-tio̍h
tsiaphue,接貨
tsiaphue,tsiap,huè
tsiapphang,接縫
tsiapphang,tsiap-phāng
tsiapsin,接神
tsiapsin,tsiap-sîn
tsiaptsiaploh,捷捷落
tsiaptsiaploh,tsia̍p-tsia̍p-lo̍h
tsiatse,節稅
tsiatse,tsiat-se
tsiatseng,節省
tsiatseng,tsiat-séng
tsiau,之後
tsiau,tsi-āu
tsiaubah,鳥肉
tsiaubah,tsiáu-bah
tsiaubo,鳥母
tsiaubo,tsiáu-bó
Tsiauengkiong,昭應宮
Tsiauengkiong,Tsiau-èng-kiong
tsiauhuat,照法
tsiauhuat,tsiàu-huat
tsiauiaunn,照樣
tsiauiaunn,tsiàu-iāunn
tsiauin,照應
tsiauin,tsiàu-ìn
tsiauionn,照樣
tsiauionn,tsiàu-iōnn
tsiaukang,鳥公
tsiaukang,tsiáu-kang
tsiaukhikanglai,照起工來
tsiaukhikanglai,tsiàu-khí-kang-lâi
tsiaukhuan,鳥款
tsiaukhuan,照款
tsiaukhuan,tsiáu-khuán
tsiaukhuan,tsiàu-khuán
tsiaukiann,鳥囝
tsiaukiann,tsiáu-kiánn
tsiaukikong,照紀綱
tsiaukikong,tsiàu-kì-kong
tsiaulang,鳥籠
tsiaulang,鳥人
tsiaulang,tsiáu-láng
tsiaulang,tsiáu-lâng
tsiaulesoo,照禮數
tsiaulesoo,tsiàu-lé-sòo
tsiauli,照理
tsiauli,tsiàu-lí
tsiaulo,照邏
tsiaulo,tsiàu-ló
tsiauna,鳥籃
tsiauna,tsiáu-nâ
tsiaunn,章
tsiaunn,樟
tsiaunn,漿
tsiaunn,螿
tsiaunn,掌
tsiaunn,槳
Tsiaunn,蔣
tsiaunn,醬
tsiaunn,癢
tsiaunn,tsiaunn
tsiaunn,tsiáunn
Tsiaunn,Tsiáunn
tsiaunn,tsiàunn
tsiaunn,tsiāunn
tsiaunna,樟仔
tsiaunna,槳仔
tsiaunna,tsiaunn-á
tsiaunna,tsiáunn-á
tsiaunnam,漿泔
tsiaunnam,tsiaunn-ám
tsiaunnkiam,醬鹹
tsiaunnkiam,tsiàunn-kiâm
tsiaunnkua,醬瓜
tsiaunnkua,tsiàunn-kua
tsiaunnliau,醬料
tsiaunnliau,tsiàunn-liāu
tsiaunnlo,樟腦
tsiaunnlo,tsiaunn-ló
Tsiaunnnooliau,樟腦寮
Tsiaunnnooliau,Tsiaunn-nóo-liâu
tsiaunnsann,漿衫
tsiaunnsann,tsiaunn-sann
tsiaunnse,漿洗
tsiaunnse,tsiaunn-sé
tsiaunntshai,醬菜
tsiaunntshai,tsiàunn-tshài
tsiaunntsheng,醬清
tsiaunntsheng,tsiàunn-tsheng
tsiaunntsi,螿蜍
tsiaunntsi,tsiaunn-tsî
tsiaunui,鳥卵
tsiaunui,tsiáu-nuī
tsiauphintsiauheng,照品照行
tsiauphintsiauheng,tsiàu-phín-tsiàu-hêng
tsiausai,鳥屎
tsiausai,tsiáu-sái
tsiausiu,鳥藪
tsiausiu,tsiáu-siū
tsiautsheng,鳥銃
tsiautsheng,tsiáu-tshèng
Tsiautshenghiong,鳥松鄉
Tsiautshenghiong,Tsiáu-tshêng-hiong
Tsiautshengkha,鳥松跤
Tsiautshengkha,Tsiáu-tshêng-kha
tsiautshui,鳥喙
tsiautshui,tsiáu-tshuì
tsiautsiau,鳥鳥
tsiautsiau,tsiáu-tsiáu
tsiautsio,鳥椒
tsiautsio,tsiáu-tsio
tsiautso,照做
tsiautso,tsiàu-tsò
tsiauua,鳥話
tsiauua,tsiáu-uā
tsibai,膣屄
tsibai,tsi-bai
tsibeng,指明
tsibeng,tsí-bêng
tsieng,支應
tsieng,tsi-èng
tsihthau,折頭
tsihthau,tsi̍h-thâu
tsilau,止漏
tsilau,tsí-làu
tsileng,指令
tsileng,tsí-lēng
tsimmuai,蟳糜
tsimmuai,tsîm-muâi
tsimthaute,枕頭袋
tsimthaute,tsím-thâu-tē
tsimtshui,噆喙
tsimtshui,tsim-tshuì
tsimuai,姊妹
tsimuai,tsí-muāi
tsimuaia,姊妹仔
tsimuaia,tsí-muāi-á
tsimuaiaphuann,姊妹仔伴
tsimuaiaphuann,tsí-muāi-á-phuānn
tsina,真正
tsina,tsin-tsiànn
tsine,真的
tsine,tsin,ê
tsinge,真藝
tsinge,tsin-gē
tsingkahiu,指甲油
tsingkahiu,tsíng-kah-iû
tsinhau,盡孝
tsinhau,tsīn-hàu
tsinheng,振興
tsinheng,進行
tsinheng,tsín-heng
tsinheng,tsìn-hêng
tsinhiaunn,進香
tsinhiaunn,tsìn-hiaunn
tsinhionn,進香
tsinhionn,tsìn-hionn
tsinkhuai,儘快
tsinkhuai,tsīn-khuài
tsinlek,盡力
tsinlek,tsīn-le̍k
tsinliong,儘量
tsinliong,tsīn-liōng
tsinnia,茈椰
tsinnia,tsínn-iâ
tsinnkiaunn,茈薑
tsinnkiaunn,tsínn-kiaunn
tsinnkionn,茈薑
tsinnkionn,tsínn-kionn
tsinntauhu,糋豆腐
tsinntauhu,tsìnn,tāu-hū
tsinntsoa,糋棗仔
tsinntsoa,tsìnn-tsó-á
tsinntsotseng,搢做前
tsinntsotseng,tsìnn-tsò-tsêng
tsinsiang,真像
